City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
203,Yenangyaung,MM,2022-01-26 01:18:41,20.4667,94.8833,64.83,71,6,6.6
204,Mormugao,IN,2022-01-26 01:18:42,15.4,73.8,65.46,82,40,8.05
205,Mandalgovi,MN,2022-01-26 01:18:42,45.7625,106.2708,-2.78,85,0,5.01
206,Kyzyl,RU,2022-01-26 01:18:42,51.7,94.45,-17.19,99,100,0.49
207,Mogadishu,SO,2022-01-26 01:18:43,2.0371,45.3438,75.67,73,56,20.31
208,Jacareacanga,BR,2022-01-26 01:18:43,-6.2222,-57.7528,74.21,98,100,2.3
209,Bara,NG,2022-01-26 01:18:44,10.3744,10.7288,64.63,23,18,10.56
210,Saint-Augustin,CA,2022-01-26 01:18:44,51.226,-58.6502,3.4,94,99,5.5
211,Waingapu,ID,2022-01-26 01:18:45,-9.6567,120.2641,84.52,70,63,14.43
212,Binabalian,PH,2022-01-26 01:18:45,16.4202,119.9279,79.29,71,100,11.16
213,Pangoa,PE,2022-01-26 01:18:46,-12.1167,-73.0,68.13,98,10,2.17
214,Conceicao Do Araguaia,BR,2022-01-26 01:18:46,-8.2578,-49.2647,73.89,94,100,4.47
215,East Wenatchee Bench,US,2022-01-26 01:18:47,47.4257,-120.2812,29.52,85,100,3.0
216,Ancud,CL,2022-01-26 01:18:47,-41.8697,-73.8203,59.43,82,0,2.15
217,Riyadh,SA,2022-01-26 01:18:48,24.6877,46.7219,57.34,40,0,10.2
218,Pochutla,MX,2022-01-26 01:18:48,15.7432,-96.4661,79.83,78,0,4.05
219,Agadez,NE,2022-01-26 01:18:49,19.75,10.25,51.87,31,10,11.3
220,Mitu,CO,2022-01-26 01:18:49,1.1983,-70.1733,71.91,98,100,2.62
221,George,ZA,2022-01-26 01:18:49,-33.963,22.4617,63.95,100,100,10.36
222,Egvekinot,RU,2022-01-26 01:18:50,66.3167,-179.1667,-26.73,90,100,0.58
223,Mount Gambier,AU,2022-01-26 01:18:50,-37.8333,140.7667,92.68,30,100,8.05
224,Chuy,UY,2022-01-26 01:18:51,-33.6971,-53.4616,74.44,95,100,3.42
225,Nieuw Amsterdam,SR,2022-01-26 01:18:51,5.8833,-55.0833,77.16,92,68,8.48
226,Oistins,BB,2022-01-26 01:14:36,13.0667,-59.5333,73.49,83,20,6.91
227,Vila Velha,BR,2022-01-26 01:18:52,-20.3297,-40.2925,76.95,89,20,5.75
228,Bwanga,TZ,2022-01-26 01:19:52,-3.0308,31.7601,62.71,91,99,3.78
229,Sambava,MG,2022-01-26 01:19:53,-14.2667,50.1667,75.63,85,99,9.78
230,Salalah,OM,2022-01-26 01:19:53,17.0151,54.0924,66.29,34,0,4.61
231,Hede,CN,2022-01-26 01:19:54,33.7681,120.2517,40.91,68,100,9.44
232,Pevek,RU,2022-01-26 01:19:55,69.7008,170.3133,-33.25,100,75,3.6
233,Ixtapa,MX,2022-01-26 01:19:55,20.7,-105.2,74.43,73,40,11.5
234,Nouadhibou,MR,2022-01-26 01:19:55,20.931,-17.0347,66.18,72,99,20.71
235,Swidnik,PL,2022-01-26 01:19:56,51.219,22.6962,35.49,98,100,8.05
236,Berdigestyakh,RU,2022-01-26 01:19:56,62.0989,126.6992,-16.08,98,98,5.99
237,Madang,PG,2022-01-26 01:19:57,-5.2246,145.7966,86.27,68,88,3.04
238,Rundu,NA,2022-01-26 01:19:57,-17.9333,19.7667,68.76,65,100,3.89
239,Krasnoye-Na-Volge,RU,2022-01-26 01:19:58,57.5125,41.2419,13.5,96,100,5.06
240,Talnakh,RU,2022-01-26 01:19:58,69.4865,88.3972,1.2,96,90,12.19
241,Dese,ET,2022-01-26 01:19:59,11.1333,39.6333,47.37,81,80,1.23
242,Chokurdakh,RU,2022-01-26 01:19:59,70.6333,147.9167,-31.83,100,100,7.34
243,Longyearbyen,SJ,2022-01-26 01:20:00,78.2186,15.6401,15.64,57,40,14.97
244,La Ronge,CA,2022-01-26 01:20:00,55.1001,-105.2842,10.65,85,100,11.5
245,Antofagasta,CL,2022-01-26 01:11:41,-23.65,-70.4,65.48,76,8,4.34
246,Dunmore Town,BS,2022-01-26 01:20:02,25.5,-76.65,71.42,70,17,4.47
247,Linhares,BR,2022-01-26 01:20:02,-19.3911,-40.0722,71.67,96,95,3.0
248,Elat,IL,2022-01-26 01:20:03,29.5581,34.9482,48.04,57,0,0.0
249,Kidal,ML,2022-01-26 01:20:03,18.4411,1.4078,62.56,17,99,13.33
250,Husavik,IS,2022-01-26 01:20:04,66.0449,-17.3389,31.91,93,100,23.98
251,Salinas,US,2022-01-26 01:20:05,36.6777,-121.6555,61.99,77,0,8.05
252,Ouadda,CF,2022-01-26 01:20:05,8.0777,22.4007,68.22,25,100,5.97
253,Nantucket,US,2022-01-26 01:16:37,41.2835,-70.0995,37.51,81,90,16.35
254,Necochea,AR,2022-01-26 01:20:06,-38.5473,-58.7368,76.03,83,46,6.06
255,Tadine,NC,2022-01-26 01:20:06,-21.55,167.8833,80.89,78,91,13.11
256,Carthage,TN,2022-01-26 01:20:07,36.8611,10.3316,44.46,74,1,3.74
257,Saint-Pierre,RE,2022-01-26 01:20:07,-21.3393,55.4781,73.08,73,75,6.91
258,Lazaro Cardenas,MX,2022-01-26 01:20:08,17.9583,-102.2,77.13,71,1,6.04
259,Samarai,PG,2022-01-26 01:20:08,-10.6167,150.6667,85.57,68,100,1.23
260,Iqaluit,CA,2022-01-26 01:20:09,63.7506,-68.5145,-20.47,69,75,4.61
261,Chato,TZ,2022-01-26 01:20:09,-2.6378,31.7669,65.41,84,100,4.52
262,San Andres,CO,2022-01-26 01:11:51,12.5847,-81.7006,80.62,74,20,5.75
263,Camiri,BO,2022-01-26 01:20:10,-20.05,-63.5167,80.76,49,86,8.99
264,Sibolga,ID,2022-01-26 01:20:11,1.7427,98.7792,75.85,89,100,3.85
265,Homer,US,2022-01-26 01:20:11,59.6425,-151.5483,30.09,72,0,6.91
266,Port Keats,AU,2022-01-26 01:20:11,-14.25,129.55,77.02,92,100,7.38
267,Dunedin,NZ,2022-01-26 01:18:56,-45.8742,170.5036,56.8,86,99,11.99
268,Brae,GB,2022-01-26 01:20:12,60.3964,-1.353,44.51,70,48,33.02
269,Arani,IN,2022-01-26 01:20:13,12.6667,79.2833,71.82,84,78,0.94
270,Ballater,GB,2022-01-26 01:20:13,57.0493,-3.0402,46.29,81,100,10.25
271,Korla,CN,2022-01-26 01:20:14,41.7597,86.1469,22.3,67,0,4.5
272,Ibra,OM,2022-01-26 01:21:14,22.6906,58.5334,60.33,68,3,3.8
273,Kapuskasing,CA,2022-01-26 01:21:14,49.4169,-82.4331,-21.91,75,0,2.3
274,Kandrian,PG,2022-01-26 01:21:15,-6.2167,149.55,89.87,59,18,6.13
275,Raudeberg,NO,2022-01-26 01:21:15,61.9875,5.1352,43.86,95,97,11.99
276,Moranbah,AU,2022-01-26 01:21:16,-22.0016,148.0466,78.31,64,100,4.56
277,Port-Cartier,CA,2022-01-26 01:21:16,50.0334,-66.8654,7.75,99,88,6.02
278,Shush,IR,2022-01-26 01:21:17,32.1942,48.2436,53.65,41,0,1.88
279,Bethel,US,2022-01-26 01:21:17,41.3712,-73.414,33.57,60,0,3.44
280,Ascope,PE,2022-01-26 01:21:18,-7.7144,-79.1078,65.53,70,63,3.94
281,Pangkalanbuun,ID,2022-01-26 01:21:18,-2.6833,111.6167,78.62,87,100,3.29
